#,Projeto,Interesse,Dominios,Prioridade,Estado,Cronologia,NasceuDe,Relevancia,Origem,Stack,Plataformas,Git,Remoto,Caminho,Tags,Notas,NotasFonte
16,my-vault,sim,,3,ideia,,,AI-KNOW,Claude Code,Docs,disk,nao,,~\my-vault,,,SwarmVault research vault. Move: safe.
17,Wiki CTE (home),sim,,3,ideia,,,AI-KNOW,Claude Code,Docs,disk,nao,,~\WIKI,,,Cluster wiki (CTE); dup provável de #33. Move: caution.
18,context-savvy-mcp,sim,,3,ideia,,,AI-TOOL,Dev/IDE,MCP/infra (Node),disk,sim,Baebu/context-savvy-mcp,~\context-savvy-mcp,,,⚠ MCP de terceiros (clone) — reclassificar Infra. Move: caution.
19,icloud-mail-mcp,sim,,3,ideia,,,AI-TOOL,Dev/IDE,MCP/infra (Node),disk,sim,minagishl/icloud-mail-mcp,~\icloud-mail-mcp,,,⚠ MCP de terceiros (clone) — reclassificar Infra. Move: safe.
20,docling-demo,sim,,3,ideia,,,AI-TOOL,Dev/IDE,Python,CP disk,nao,,~\docling-demo,,,⚠ chave OpenAI exposta (§7); docling-demo3 → Dup. Move: caution.
21,gemini_cache,sim,,3,ideia,2025-12,,AI-TOOL,Dev/IDE,Python,disk,sim,dmmgama/gemini_cache,~\gemini_cache,,,Predecessor de app-gemini-cache. Move: safe.
22,Gemini Projects,sim,,3,ideia,,gemini_cache,AI-TOOL,Dev/IDE,Python,CC disk,sim,dmmgama/app-gemini-cache,~\gemini-projects-app,,,folder≠repo; evolução de gemini_cache. Move: caution.
23,Wiki-Lab,sim,,3,ideia,,,AI-KNOW,Dev/IDE,Docs+Python,disk,sim,dmmgama/wiki-lab,~\Wiki-Lab,,,KM lab de vida (domínios próprios). Move: safe.
24,ACC Issues Manager (758),sim,,3,ideia,,,JSJ-ENG,Claude Code,Python,CC CW disk,sim,dmmgama/JSJ-ACC-Manager,GDrive\JSJ\758\ACC_Issues_Download,,,folder≠repo (=2CW); contém artefacto TableEditor. Move: caution.
25,Triage Email (Cowork),sim,,3,ideia,2025-11,,VIDA,Cowork,Docs,CW CC,nao,,GDrive\AI\Triage\Triage-Cowork,,,MCP email+notion iCloud; Tier 1/2. Move: caution.
26,Life Map Laboratory,sim,,3,ideia,,,VIDA,Claude Code,HTML,CC disk,sim,dmmgama/LifeMapEditor,GDrive\AI\HTML Artifact\LifeMap,,,Canónico LifeMap; folder≠repo; cluster Life ×4. Move: safe.
27,CWPP (artefactos HTML),sim,,3,ideia,,,AI-PROJ,Artefacto/web,HTML,disk,nao,,GDrive\AI\HTML Artifact\CWPP,,,Cluster CWPP (só HTML). Move: safe.
28,CWPP Implementation,sim,,3,ideia,,CWPP (artefactos HTML),AI-PROJ,Artefacto/web,Docs,CW disk,nao,,GDrive\AI\Projetos Claude\Desktop Web Protocol,,,Núcleo CWPP v4→v5. Move: caution.
29,Auditor B+C (Ajudante CwPP),sim,,3,ideia,,,AI-PROJ,Artefacto/web,Docs,CW disk,nao,,GDrive\AI\Projetos Claude\Projeto Ajudante CwPP,,,Coordena Fases B/C. Move: caution.
30,Governança — Compreensão,sim,,3,ideia,,,AI-PROJ,Artefacto/web,Docs,CW disk,nao,,GDrive\AI\Projetos Claude\Projeto Governanca Ajudante,,,Auditor independente de governança. Move: caution.
31,Projecto WikiBuilder,sim,,3,pausado,,,AI-TOOL,Artefacto/web,Docs,CW disk,nao,,GDrive\AI\Projetos Claude\Projeto WikiBuilder,,,Projeto-meta de wikis (v4.2); em pausa. Move: caution.
32,wiki-ai-evolution,sim,,3,arquivado,,,AI-KNOW,Artefacto/web,Docs,disk,nao,,GDrive\AI\Projetos Claude\wiki-ai-evolution,,,Stub vazio relocado; conteúdo em LLM-WIKIS\wiki-ai\_project. Move: n/a (vazia).
33,Wiki CTE (GDrive),sim,,3,ideia,,,AI-KNOW,Artefacto/web,Docs,CW disk,nao,,GDrive\AI\Projetos JSJ AI\WIKI,,,Cluster wiki; dup provável de #17. Move: caution.
34,LLM-WIKIS,sim,,3,ideia,,,AI-KNOW,Artefacto/web,Docs,CW disk,nao,,GDrive\AI\LLM-WIKIS,,,Contém wiki-ai (6CW) + _project (cwpp/wiki-ai-evolution). Move: caution.
35,TableEditor APP,sim,,3,arquivado,,,AI-TOOL,Artefacto/web,Docs,disk,nao,,GDrive\AI\TableEditor APP,,,Pasta vazia (par 3CW); conteúdo em ACC + Obsoletos. Move: n/a (vazia).
36,Projeto Obsidian,sim,,3,ideia,,,AI-KNOW,Artefacto/web,Docs,CW disk,nao,,GDrive\AI\Projeto Obsidian,,,arquitectura-conhecimento.md (3 classes). Move: caution.
37,Json-Studio,sim,,3,ideia,,,AI-TOOL,Claude Code,Docs/Data,CC disk,nao,,GDrive\AI\AI Organization\3. Ferramentas\Data Tools\Json-Studio,,,Tool Claude Code (editar/converter JSON). Move: safe.
38,SkillCreation,sim,,3,ideia,,,AI-TOOL,Claude Code,Docs,CC disk,nao,,GDrive\AI\AI Organization\3. Ferramentas\AI Tools\Claude Skills\SkillCreation,,,Skill factory; confirma 15CC (SessionSkill). Move: caution.
39,SecondBrain (Personal OS),sim,,3,ideia,,,AI-KNOW,Claude Code,Docs,CC disk,nao,,GDrive\AI\AI Organization\SecondBrain,,,Vault-OS markdown; routing por CLAUDE.md. Move: safe.
40,Template-ProjetoClaudeCode,sim,,3,ideia,,,AI-TOOL,Claude Code,Docs,CC disk,nao,,GDrive\AI\AI Organization\1. Arquitetura AI\…\Template-ProjetoClaudeCode,,,Scaffold reutilizável (claude/context/handoff/memory). Move: safe.
41,Transferência Crédito Habitação,sim,,3,ideia,,,VIDA,Artefacto/web,Docs,CP disk,nao,,GDrive\Credito Transferencia Claude,,,System-prompt advisor crédito (v5/v4.1). Move: safe.
42,David-Contexto,sim,,3,ideia,,,AI-KNOW,Artefacto/web,Docs,disk,nao,,GDrive\David-Contexto.md (+v2/v3),,,Ficheiro de contexto pessoal (classes I/II/III). Move: safe.
43,MindMap (MindMapLLMS),sim,,3,ideia,,,AI-KNOW,—,Docs,disk,nao,,GDrive\MindMap,,,Reflexões arquitetura wiki (.canvas). Move: safe.
44,"JSJ-GestaoDesenhos-LSP (V56-58, ATIVO)",sim,,3,ativo,2026-01,JSJ-GestaoDesenhos-LSP,JSJ-ENG,Claude Code,LISP-CAD+Docs,CC disk,nao,,Desktop\JSJ\820 - PC\LSP,,,⚠ versão ATIVA do gestor; reconciliar canónico vs #3. Move: caution.
